user_id,Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Steps,Active_Minutes,Sleep_Duration,Heart_Rate_Avg,Daily_Workout_Time,Diet_Quality,Fitness_Level
1,34,Female,86.7,1.86,174,152,74,1.12,712,Strength,12.8,2.4,5,2,14.31,4373,169,6.04,72,36,Excellent,Advanced
2,26,Female,84.7,1.83,166,156,73,1,833,Strength,27.9,2.8,5,2,33.49,3089,31,6.89,67,36,Excellent,Advanced
3,22,Male,64.8,1.85,187,166,64,1.24,1678,Cardio,28.7,1.9,3,2,12.73,11515,82,7.44,80,36,Excellent,Advanced
4,54,Female,75.3,1.82,187,169,58,1.45,628,Cardio,31.8,2.4,4,1,20.37,9698,69,6.13,97,36,Excellent,Advanced
5,34,Female,52.8,1.74,177,169,66,1.6,1286,Strength,26.4,3.2,4,2,20.83,7155,167,6.12,83,36,Excellent,Advanced
6,38,Female,53,1.58,161,128,74,1.62,953,HIIT,23.4,2.5,2,2,13.02,13025,131,7.77,86,36,Excellent,Advanced
7,44,Female,46.5,1.81,191,142,74,1.46,1238,Cardio,11.9,3.7,2,2,18.12,12045,153,4.89,95,36,Excellent,Advanced
8,50,Female,88.5,1.63,181,136,63,1.63,829,Strength,11.6,1.8,4,2,19.16,12091,108,6.89,85,36,Excellent,Advanced
9,18,Female,82.9,1.54,174,169,64,0.77,802,HIIT,27.8,2.2,3,1,49.84,5262,60,7.74,88,36,Excellent,Advanced
10,34,Female,65.9,1.74,195,169,73,2,1231,Yoga,30.5,3.2,5,2,12.32,14457,55,5.07,85,36,Excellent,Advanced
11,39,Female,47,1.78,181,155,55,1.89,747,Yoga,31.7,2.3,3,3,28.39,8544,43,4.8,100,36,Excellent,Advanced
12,46,Male,40,1.88,168,131,69,2,672,,25.4,2.4,2,2,12.32,3086,67,6.36,98,36,Excellent,Advanced
13,19,Male,87.7,1.98,186,145,50,1.61,1705,Strength,14.1,2.3,3,2,15.99,10133,97,5.11,65,36,Excellent,Advanced
14,56,Female,107.4,1.73,176,141,71,0.65,1564,HIIT,26,3,2,3,14.48,12978,128,8.65,85,36,Excellent,Advanced
15,19,Female,71.7,1.91,197,148,74,1.15,464,Cardio,32.5,2.7,4,2,19.09,13059,103,7.56,98,36,Excellent,Advanced
16,30,Female,90.6,1.6,161,125,52,1.03,1410,Yoga,16,3.5,4,2,13.91,3941,74,7.2,88,36,Excellent,Advanced
17,23,Male,56.2,1.76,195,141,55,1.45,1195,HIIT,23.9,3.2,4,1,22.61,3175,162,5.43,62,36,Excellent,Advanced
18,39,Female,71.3,1.77,171,124,74,0.69,871,Cardio,21.9,2.1,5,1,14.31,12822,89,7.08,62,36,Excellent,Advanced
19,54,Female,47.7,1.56,181,128,74,1.5,853,Yoga,26.5,1.5,3,1,23.64,8893,30,8.88,65,36,Excellent,Advanced
20,,Male,63,1.51,184,169,71,1.3,1136,Cardio,23.8,2.3,3,2,22.69,7520,120,7.35,85,36,Excellent,Advanced
21,26,Male,129.9,1.71,196,136,74,1.27,931,Yoga,26.6,1.8,5,1,21.04,12602,33,7.68,64,36,Excellent,Advanced
22,22,Female,102.4,1.5,173,156,55,1.44,453,HIIT,17.5,1.6,4,3,18.23,4477,173,8.58,82,36,Excellent,Advanced
23,36,Female,64.2,1.78,192,130,74,1.38,1708,Yoga,31.9,2.1,,1,25.59,8693,100,5.13,72,36,Excellent,Advanced
24,18,Male,129.4,1.5,177,145,71,,772,Strength,22,1.7,5,1,18.07,10450,177,4.02,71,36,Excellent,Advanced
25,25,Male,57.2,1.82,184,140,74,1.15,888,Strength,26.9,2.6,4,2,15.23,9670,173,4.36,78,36,Excellent,Advanced
26,59,Male,71.8,1.5,165,152,74,1.94,758,Yoga,28.9,3.3,3,1,16.87,8570,161,8.78,94,36,Excellent,Advanced
27,18,Male,112.4,1.71,177,165,55,1.56,1044,HIIT,33.5,1.7,2,2,24.43,12419,143,8.83,96,36,Excellent,Advanced
28,18,Male,40,1.72,188,155,74,1.51,1266,Cardio,26.4,2.5,2,,17.79,10923,116,8.81,89,36,Excellent,Advanced
29,25,Female,64.3,1.65,183,169,67,1.28,1783,Cardio,20,3.2,2,3,20.59,14167,180,8.31,90,36,Excellent,Advanced
30,32,Male,72.4,1.74,189,127,60,1.4,1090,Yoga,16.9,1.6,2,1,17.68,4904,127,7.17,74,36,Excellent,Advanced
31,28,Male,62.4,1.56,193,141,55,2,861,Cardio,32.2,3.6,3,1,18.61,14090,110,6.06,82,31,Average,Beginner
32,27,Female,78.6,1.65,198,127,66,1.61,938,Yoga,26.8,3.1,3,1,17.92,11462,97,5.24,65,31,Average,Beginner
33,44,Female,45,1.53,199,158,50,0.7,930,Strength,21.9,3.6,4,1,27.74,9536,117,4.38,71,31,Average,Beginner
34,20,Female,103.4,1.53,180,166,56,1.28,631,HIIT,23,3,4,1,19.18,10807,85,8.47,77,31,Average,Beginner
35,51,Male,79.2,1.85,178,147,51,1.52,1355,Strength,23.2,2,4,1,18.95,5994,78,6.49,72,31,Average,Beginner
36,52,Female,40,1.84,\t182,156,56,1.2,1258,Cardio,25,2,4,2,12.32,6847,97,5.03,72,31,Average,Beginner
37,35,Male,75.7,1.61,192,147,52,0.92,1211,Strength,21.2,2.4,3,2,23.19,7091,121,4.78,66,31,Average,Beginner
38,21,Male,76.8,1.75,166,125,74,1.56,1152,Strength,25.1,2.7,3,1,16.66,4964,156,7.07,94,31,Average,Beginner
39,48,Female,112.6,1.69,160,162,63,0.89,1482,Cardio,22.6,2.5,4,2,12.32,3692,125,7.1,91,31,Average,Beginner
40,18,Male,73.7,1.78,192,154,73,1.18,851,Strength,27.4,2.6,2,2,21.08,12412,155,4.91,92,31,Average,Beginner
41,18,Female,84,1.71,194,148,52,0.92,621,Strength,28.3,3.4,3,3,17.99,7591,177,4.64,93,31,Average,Beginner
42,28,Male,68,1.7,174,155,68,0.74,1464,Yoga,17,2.3,3,2,21.67,9933,168,4.16,82,31,Average,Beginner
43,23,Male,107.6,1.5,,136,71,1.53,1062,Cardio,10,2.3,5,3,23.77,9450,74,6.29,67,31,Average,Beginner
44,30,Female,54.3,1.82,185,168,66,1.4,1415,,25.4,3.6,3,1,26.4,14440,110,7.45,60,31,Average,Beginner
45,18,Female,42.8,1.89,194,162,73,2,736,,22.5,1.5,3,2,18.54,14044,178,4.5,83,31,Average,Beginner
46,37,,55.4,1.68,197,,52,1.04,338,Cardio,27.4,3.2,,3,17.71,13039,77,6.74,75,31,Average,Beginner
47,49,Female,102.4,1.65,185,148,68,1.27,980,Cardio,34.8,2,5,,15.52,7413,117,5.83,91,31,Average,Beginner
48,42,Female,95.5,1.95,168,125,72,1.91,632,HIIT,26.1,2,4,1,12.32,9945,125,5.83,85,31,Average,Beginner
49,27,Female,58.7,1.98,199,145,52,2,1119,Cardio,23,2.7,2,3,18.99,7581,176,4.66,96,31,Average,Beginner
50,35,Female,49.7,1.86,161,,62,1.12,867,Strength,15.2,1.8,4,3,12.32,14239,55,7.6,75,31,Average,Beginner
51,24,Female,86.5,1.65,196,169,59,1.08,771,Cardio,27.3,2.1,3,1,12.9,12098,127,4.98,69,31,Average,Beginner
52,44,Female,63.6,1.78,167,129,74,1.34,1165,Yoga,10.7,3.4,4,1,15.73,10749,75,6.11,68,31,Average,Beginner
53,52,Male,58.7,1.58,169,131,53,1.14,900,HIIT,28.5,3.3,3,,19.62,13332,110,7.93,79,31,Average,Beginner
54,49,Female,56.6,1.75,198,120,72,1.12,1767,Yoga,23.6,2.6,2,2,34.37,7111,175,4.24,66,31,Average,Beginner
55,36,Female,40,1.71,178,169,69,1.3,1519,HIIT,27.5,2.7,4,1,39.74,14313,85,8.07,90,31,Average,Beginner
56,23,Female,67.7,1.73,188,162,54,1.76,954,Yoga,18,3.2,3,1,16.07,13319,115,5.3,83,31,Average,Beginner
57,56,Female,40,1.74,172,146,74,1.43,876,Yoga,26,3.4,2,1,19.63,12180,95,5.72,86,31,Average,Beginner
58,48,,68,1.69,185,144,68,1.23,695,Yoga,14.2,2.6,2,1,28.93,4986,80,6.88,94,31,Average,Beginner
59,24,Male,68.3,1.74,184,161,51,1.9,566,Cardio,27.5,3.5,4,,16.26,5859,102,5.78,92,31,Average,Beginner
60,22,Female,99.1,1.72,182,169,62,1.14,1105,Yoga,31.4,3.6,4,1,16.91,10987,144,8.45,84,31,Average,Beginner
61,20,Female,72.9,1.63,164,156,51,1.11,582,Strength,27.1,3.2,3,2,19.83,13054,67,8.34,100,62,Poor,Beginner
62,44,Female,40,1.68,175,156,74,1.04,1010,Cardio,28.1,1.8,3,3,12.32,8527,176,6.02,64,62,Poor,Beginner
63,33,Female,58.3,1.77,167,153,74,1.41,969,Strength,29.5,2.6,2,1,20.47,4296,88,5.57,78,62,Poor,Beginner
64,18,Male,40,1.64,177,134,53,0.98,468,\nStrength,25.6,2.1,3,3,18.78,14639,131,5.36,88,62,Poor,Beginner
65,59,Male,45.8,1.5,163,137,55,1.98,1306,\tCardio,24,2.9,4,2,26.25,8950,163,8.83,86,62,Poor,Beginner
66,27,Male,52.3,1.75,180,128,61,1.92,931,Strength,15,2.5,4,2,23.23,5741,35,4.63,75,62,Poor,Beginner
67,33,Female,76.3,1.95,188,125,72,0.95,899,Strength,21.7,2.3,5,1,26.08,13846,50,5.05,85,62,Poor,Beginner
68,47,Male,77.5,1.72,176,151,56,1.39,679,Cardio,13.3,3.5,2,3,24.32,4687,151,6.74,61,62,Poor,Beginner
69,18,Male,,1.8,197,165,56,0.74,1208,HIIT,26.1,3.3,3,3,12.32,9504,51,4.52,99,62,Poor,Beginner
70,46,Female,40,1.58,177,132,58,1.29,1189,Strength,31.1,2.5,,2,12.73,5544,129,5.55,75,62,Poor,Beginner
71,27,Male,96.3,1.61,198,159,70,1.16,1203,Cardio,32.1,3.1,3,1,12.32,7655,62,4.66,70,62,Poor,Beginner
72,34,Female,49.6,1.52,191,,59,1.59,744,HIIT,22.2,1.6,3,1,20.97,3468,121,8.3,80,62,Poor,Beginner
73,45,Male,86.4,1.51,,159,69,1.23,1313,\tCardio,35,3.3,3,3,16.06,10801,168,8.67,95,62,Poor,Beginner
74,55,Female,68.4,1.85,175,150,58,1.16,1020,Cardio,29.2,2.5,4,2,22.87,10288,168,4.89,98,62,Poor,Beginner
75,18,Female,56.9,1.77,183,131,57,1.28,1052,Cardio,20.7,3.5,4,2,18.57,10480,174,6.17,100,62,Poor,Beginner
76,41,Female,51.1,1.94,,137,72,1.23,1084,,16.4,2.3,3,2,16.41,13478,118,6.41,74,62,Poor,Beginner
77,24,Male,47.6,1.51,175,120,70,0.78,583,Strength,22.6,1.7,5,1,13.71,4467,123,6.06,69,62,Poor,Beginner
78,26,Female,88.8,1.7,193,169,68,1.91,1145,Strength,18.1,3.7,2,2,30.34,7973,163,8.08,68,62,Poor,Beginner
79,18,,67.5,1.69,177,169,72,1.07,975,,26.2,1.6,4,3,14.08,8634,166,4.04,91,62,Poor,Beginner
80,29,Male,96.7,1.7,175,141,54,2,880,Yoga,32.9,2.3,2,3,13.16,10816,140,7.99,98,62,Poor,Beginner
81,26,,55.7,1.99,172,142,68,2,1583,Strength,18.9,3.2,4,1,12.32,6788,170,5.87,86,62,Poor,Beginner
82,43,Male,112,1.71,166,146,58,1.62,815,HIIT,31.2,2.6,3,1,21.1,12184,93,4.82,84,62,Poor,Beginner
83,48,Male,75.2,1.72,193,169,59,1.54,1726,Cardio,30.9,1.9,2,,18.64,9199,50,6.11,75,62,Poor,Beginner
84,29,Female,72,1.66,167,144,68,0.87,1248,HIIT,10,3.6,4,3,17.55,11464,99,5.42,94,62,Poor,Beginner
85,57,Female,63.6,1.87,170,158,,1.56,840,Strength,23.7,3.6,4,1,12.32,7404,47,4.91,78,62,Poor,Beginner
86,22,Female,75.7,1.56,194,142,61,1.23,643,Strength,28.8,2.3,3,3,13.93,4808,145,5.36,99,62,Poor,Beginner
87,20,Male,59.1,1.62,191,127,54,1.02,995,,26.2,3.4,3,,12.46,11060,34,4.76,94,62,Poor,Beginner
88,39,Female,41.3,1.76,175,136,69,1.42,1096,Yoga,24.3,3.2,3,2,15.36,3362,56,5.41,68,62,Poor,Beginner
89,41,Male,40,1.77,176,148,65,1.03,1238,Yoga,11.6,1.9,5,1,22.98,14717,32,5.16,69,62,Poor,Beginner
90,41,Female,63.7,1.93,195,155,61,1.18,1064,HIIT,21.2,3.4,4,1,15.76,3241,117,6.1,91,62,Poor,Beginner
91,31,Female,100,1.75,190,169,67,1.46,1573,HIIT,20.8,3.4,4,2,,9084,38,5.65,69,35,Average,Advanced
92,20,Male,45,1.68,171,154,74,1.5,1692,Yoga,10,2.4,4,1,12.32,3918,130,4.36,90,35,Average,Advanced
93,26,Male,47.1,1.61,189,138,52,1.26,1095,Yoga,19.3,3.6,3,3,29.91,5975,94,8.09,60,35,Average,Advanced
94,37,Female,72.1,1.83,164,152,58,1.58,1091,Cardio,34.4,3.3,4,2,16.92,4998,93,5.92,88,35,Average,Advanced
95,59,Male,57.5,1.81,175,169,58,1.47,1349,Cardio,24.7,2.5,5,2,12.32,7049,38,5,66,35,Average,Advanced
96,22,Male,54.3,1.85,165,144,53,2,1740,\tCardio,26.6,3.7,4,2,20.04,11538,83,6.36,79,35,Average,Advanced
97,25,Male,63.9,1.67,178,144,61,1.56,868,Strength,24.8,2.4,3,2,24.51,8293,40,7.72,95,35,Average,Advanced
98,32,Male,56.6,2,190,123,65,1.25,1309,HIIT,14.7,3.5,4,3,17.83,11534,153,7.19,72,35,Average,Advanced
99,37,Female,68.9,1.65,171,132,50,1.19,767,Strength,23,,3,3,20.71,8905,85,8.87,75,35,Average,Advanced
100,29,Female,95.3,1.72,190,169,74,1.49,733,HIIT,29.2,3.7,5,3,20.06,13369,33,4.84,77,35,Average,Advanced
101,30,Female,96.3,2,173,136,74,2,1095,HIIT,20.4,1.5,5,2,25.83,12579,92,4.04,62,35,Average,Advanced
102,28,Male,84.4,1.74,\t182,142,52,1.45,1392,Strength,22,2.6,2,1,34.01,12520,151,7.44,69,35,Average,Advanced
103,33,Male,60.5,1.54,195,126,56,1.27,1237,Cardio,29.1,3.7,4,2,21.23,9084,93,4.79,65,35,Average,Advanced
104,48,Female,49.8,1.69,184,143,56,1.37,,Strength,17.7,2.7,3,3,25.57,14238,45,4.3,69,35,Average,Advanced
105,32,Male,47.2,1.81,187,129,,1.19,919,HIIT,30.5,1.9,4,2,31.5,14490,57,4.63,74,35,Average,Advanced
106,54,,56.3,1.59,172,169,68,1.47,936,Cardio,19.6,3.1,4,2,18.7,8189,118,8.03,88,35,Average,Advanced
107,49,Male,45,1.84,190,159,53,1.3,864,HIIT,26.5,1.5,4,2,17.11,6161,126,5.79,68,35,Average,Advanced
108,53,Male,87.7,1.84,164,152,53,1.37,1066,Cardio,24.7,2.6,5,2,25.16,7107,154,7.53,95,35,Average,Advanced
109,54,Female,46.1,1.85,187,162,63,1.35,772,Strength,25.7,3.6,4,1,20.62,7828,155,4.95,71,35,Average,Advanced
110,18,Female,69.8,1.82,178,168,58,1.9,963,HIIT,31.4,3.7,5,2,34.21,11906,149,5.38,98,35,Average,Advanced
111,18,Male,79.2,1.77,198,137,66,1.2,1429,Yoga,12.9,3.7,3,2,19.07,12085,165,4.78,78,35,Average,Advanced
112,29,Male,60.6,1.76,188,148,50,1.38,676,Strength,30.2,2.5,3,,23.73,7314,146,4,100,35,Average,Advanced
113,22,Female,53.3,1.73,172,144,71,1.1,1235,Strength,22.8,2.6,3,1,13.13,11289,77,8.41,99,35,Average,Advanced
114,20,Male,95.7,1.85,196,136,58,1.44,987,HIIT,23.8,1.5,3,2,15.47,8965,91,5.6,64,35,Average,Advanced
115,29,Female,57.4,1.74,198,165,67,1.58,880,Strength,20.9,3.3,4,1,,13785,129,4.95,91,35,Average,Advanced
116,47,Male,87.3,1.9,194,164,74,1.87,1073,HIIT,23.7,3.5,5,2,20.1,12035,102,5.61,80,35,Average,Advanced
117,20,Female,,1.75,193,136,51,0.58,1218,Yoga,28.4,3,4,1,19.66,4809,47,4.22,68,35,Average,Advanced
118,18,Male,79.2,1.66,176,154,72,1.58,1493,Strength,18.1,2.3,3,1,14.27,5926,81,4.54,72,35,Average,Advanced
119,18,Male,73.8,1.75,187,149,74,1.64,1065,HIIT,17.7,2.4,3,1,17.79,4617,129,7.29,93,35,Average,Advanced
120,33,Female,66.3,1.76,164,120,74,1.44,419,,25.4,2.6,3,3,20.67,13223,95,4.25,74,35,Average,Advanced
121,27,Male,72.8,1.82,162,136,57,1.23,780,HIIT,11.4,3.5,4,3,22.59,12927,33,8.65,73,25,Average,Beginner
122,38,Male,50,1.75,186,135,59,2,695,Strength,23.4,1.6,4,1,49.84,13743,50,6.34,100,25,Average,Beginner
123,29,Female,93.5,1.85,166,167,74,1.01,670,Cardio,23.2,2.6,3,1,19.83,3994,136,8.11,63,25,Average,Beginner
124,54,Male,84,1.94,178,133,53,1.47,942,Yoga,30.7,1.5,4,1,16.61,13107,40,7.67,79,25,Average,Beginner
125,37,Female,55.3,1.73,183,134,51,1.1,976,Yoga,31.3,2.8,2,2,16.26,4276,162,4.49,74,25,Average,Beginner
126,21,Male,66.6,1.85,189,121,56,0.88,993,HIIT,13.9,3.4,5,1,12.32,11710,79,6.63,75,25,Average,Beginner
127,21,,65.8,1.62,172,127,62,1.35,1307,Cardio,26,3.4,3,1,15.3,12339,75,6.79,95,25,Average,Beginner
128,26,Female,59.8,1.6,180,151,58,1.2,611,HIIT,16.4,2.5,3,3,12.63,9802,177,5.79,89,25,Average,Beginner
129,42,Female,80.3,1.94,192,169,52,1.72,753,Yoga,24.6,3.5,5,2,33.99,14510,56,4.83,71,25,Average,Beginner
130,31,Female,129.9,1.7,190,169,69,1.38,735,Strength,10,2.1,3,3,16.07,12010,116,7.29,94,25,Average,Beginner
131,50,Female,40,1.75,162,169,55,2,1449,Yoga,31.7,3.5,4,3,28.18,12829,120,8.51,95,25,Average,Beginner
132,51,Female,91.7,1.72,168,137,58,0.86,1529,Cardio,10,1.7,,1,14.15,8319,135,7.82,87,25,Average,Beginner
133,18,Male,64.8,1.82,169,156,69,1.93,1516,Strength,21.9,3.5,3,2,17.69,14892,91,6.82,73,25,Average,Beginner
134,54,Male,60.1,1.63,174,159,72,0.52,893,Cardio,18.4,3.6,4,1,20.56,9145,95,5.8,88,25,Average,Beginner
135,38,Female,59,,169,134,67,1.36,1783,Yoga,24.5,2.4,3,1,12.32,10331,30,7.63,78,25,Average,Beginner
136,37,Male,46.3,1.69,181,141,67,1.64,1445,Strength,20.7,2.5,4,2,19.11,12760,64,8.97,79,25,Average,Beginner
137,21,Male,66.9,1.69,197,149,74,1.37,872,Yoga,16.6,2.6,5,2,33.07,3107,86,5.07,80,25,Average,Beginner
138,19,Female,40,1.93,167,158,74,1.19,1265,Yoga,24.7,2.6,4,3,12.32,3355,100,8.6,92,25,Average,Beginner
139,32,Female,79,1.6,165,149,,1.59,1245,Yoga,,2.2,3,2,18.69,12114,176,4.77,62,25,Average,Beginner
140,36,Female,50.1,1.85,199,140,68,0.91,1243,Strength,30.7,2.8,4,2,25.82,10542,65,5.32,97,25,Average,Beginner
141,23,Male,71.3,1.77,171,134,50,1.34,1239,Cardio,35,2.5,3,3,18.17,7093,106,4.46,85,25,Average,Beginner
142,45,,68.3,1.75,185,133,65,1.31,1595,,29.1,2.5,4,2,13.23,12323,49,7.62,90,25,Average,Beginner
143,39,Female,66.8,1.61,177,127,59,1.64,770,Yoga,28,3.1,4,1,17.16,5832,177,8.1,66,25,Average,Beginner
144,45,Male,53.9,1.68,169,141,71,1.59,1031,Yoga,19.2,2.1,3,3,20.62,12752,39,7.65,96,25,Average,Beginner
145,33,Female,97.1,1.86,166,127,72,1.39,1783,HIIT,11,1.5,4,1,16.27,9251,44,8.61,81,25,Average,Beginner
146,27,Female,40,1.57,178,169,52,1.32,949,Strength,28.4,3.1,3,2,21.11,8700,141,6.08,67,25,Average,Beginner
147,37,Male,62.1,1.85,196,151,64,1.28,943,HIIT,26.7,3.3,4,1,20.37,6714,32,7.17,100,25,Average,Beginner
148,28,Male,60.7,1.73,198,124,70,1.34,1212,Cardio,24.8,2,2,1,20.21,9266,164,4.21,94,25,Average,Beginner
149,18,Male,46.9,1.84,185,147,65,1.29,1040,HIIT,21.8,1.7,3,1,13,12255,158,7.49,69,25,Average,Beginner
150,18,Female,90.8,1.66,182,134,56,1.77,990,Yoga,10,1.8,4,2,22.03,3827,130,8.86,98,25,Average,Beginner
151,24,Female,44,1.79,193,164,62,1.84,622,Strength,26.3,3.5,4,2,14.27,12424,86,6.16,85,79,Average,Advanced
